Years,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
"CNG, Table 35,ab\ab tra.xlsx",0.004916,0.007855,0.007561,0.007213,0.006775,0.003608,0.00365,0.010147,0.008198,0.003901,0.002789,0.002964,0.003177,0.003135,0.003551,0.003979,0.004421,0.003969,0.004298,0.003407,0.003998,0.019466,0.015101,0.011559,0.038554,0.019763,0.018438,0.017608,0.015788
"Motor Gasoline, Table 35,ab\ab tra.xlsx",18.525287,16.913004,17.702616,18.137934,19.76456,20.068747,20.871875,23.207641,24.963066,26.047915,27.166971,28.390769,29.340987,28.074611,27.753419,29.306731,29.16754,31.823809,31.157334,30.581761,30.690632,27.829552,30.30458,33.714005,35.61197,36.485106,39.31362,39.476303,42.844357
"Diesel Fuel Oil, Table 35,ab\ab tra.xlsx",0.406327,0.449741,0.44012,0.557216,0.68347,0.962538,1.026436,1.159892,1.24548,1.19801,1.22025,1.527438,1.780298,1.355154,1.122213,1.339883,0.250724,0.270892,0.307259,0.375612,0.399192,0.37316,0.327593,0.34894,0.400806,0.43247,0.431041,0.420073,0.549657
"Ethanol, Table 35,ab\ab tra.xlsx",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.114233,1.676001,1.308523,1.596331,n.a.,n.a.,n.a.,n.a.
"Propane, Table 35,ab\ab tra.xlsx",5.418416,5.362665,6.079232,2.738133,4.677174,4.64172,4.963354,4.293427,3.852237,3.01301,2.427258,2.390393,1.800454,1.571323,1.412281,0.899718,1.432093,1.455836,1.001833,0.786317,0.639976,0.814704,0.700916,0.844732,0.661172,0.768326,0.693476,0.581845,0.552331
"Motor Gasoline, Table 36,ab\ab tra.xlsx",18.83781,17.055477,18.58773,18.11159,20.961246,19.524756,21.692524,21.923937,22.995113,22.003413,17.741019,24.212671,20.79258,24.083251,33.666807,30.066798,36.211446,35.423109,36.308156,36.643544,41.33295,37.662584,41.769268,47.944995,48.899878,47.917588,48.533166,46.940494,49.263575
"Diesel Fuel Oil, Table 36,ab\ab tra.xlsx",3.119751,3.107326,2.934991,3.153731,3.711229,5.805263,4.631432,5.874324,7.339758,8.372793,7.420976,13.215958,15.237026,15.829507,21.142195,22.528449,30.742009,34.454825,35.84172,41.670892,53.815149,52.679964,51.824133,56.083852,57.026668,49.357013,41.878339,38.522688,47.468217
"Ethanol, Table 36,ab\ab tra.xlsx",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.507925,2.310058,1.860863,2.191971,n.a.,n.a.,n.a.,n.a.
"Biosdiesel, Table 36,ab\ab tra.xlsx",0,0,0,0,0,0,0,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
"Diesel Fuel Oil, Table 36,ab\ab tra.xlsx",38.906272,34.224972,31.886682,38.582743,48.759105,51.796988,56.75054,62.792407,67.050286,69.456852,77.974735,77.709374,71.888472,82.597125,87.701804,88.785211,93.492751,101.673084,100.177017,106.160744,116.831152,114.965824,117.640044,126.951543,137.265789,118.631476,100.799576,98.352738,114.505679
"Aviation Gasoline, Table 14,ab\ab tra.xlsx",0.496608,0.406112,0.412137,0.413468,0.46695,0.619258,0.54109,0.540928,0.7792,0.75468,0.787086,0.75106,0.791882,0.733195,0.60056,0.738575,0.610672,0.619113,0.639488,0.534918,0.4881,0.458252,0.781375,0.617675,0.439344,0.549354,0.54903,0.575074,0.5168
"Aviation Turbo Fuel, Table 14,ab\ab tra.xlsx",23.961316,20.335196,21.257224,22.193158,22.16213,23.550448,26.792005,28.940604,30.46976,30.92012,30.704062,30.600964,26.432942,26.84836,28.999096,31.3987,32.912224,35.294196,34.895384,32.187084,33.4506,31.333542,33.596375,36.958075,39.495224,40.632114,38.431727,39.481286,40.08455
"Aviation Gasoline, Table 15,ab\ab tra.xlsx",0.007392,0.005888,0.005863,0.006532,0.00805,0.008742,0.00891,0.006072,0.0038,0.00332,0.003914,0.00594,0.006118,0.007805,0.00544,0.005425,0.003328,0.004887,0.004512,0.003082,0.0039,0.007748,0.011625,0.005325,0.007656,0.008646,0.00897,0.012926,0.0132
"Aviation Turbo Fuel, Table 15,ab\ab tra.xlsx",0.827684,0.757804,0.669776,0.787842,0.82087,0.912552,1.021995,1.122396,1.04624,1.10388,1.027938,0.936036,0.828058,0.85764,0.800904,0.9023,0.883776,0.816804,0.713616,0.682916,0.7514,0.705458,0.780625,0.797925,0.817776,0.798886,0.776273,0.807714,0.89145
"Diesel, Table 17,ab\ab tra.xlsx",0.952633,0.737393,0.682967,0.741588,0.633442,0.450826,0.518824,0.534265,0.562933,0.639881,0.814015,1.025005,1.020789,1.118378,1.088801,1.128186,1.241006,1.3676,1.450102,1.292105,0.818793,0.980329,0.979336,0.862488,0.775577,0.711614,0.58594,0.516457,0.558588
"Diesel, Table 18,ab\ab tra.xlsx",21.752367,18.665607,18.920033,18.938412,19.734558,15.159174,14.030176,16.582735,16.913067,18.151119,22.309985,27.953995,27.260211,31.887622,32.806199,34.507814,39.342994,44.7094,44.427898,35.498895,26.880207,32.455671,38.735664,37.307512,36.443423,31.552386,23.56606,21.029543,23.800412
"Diesel Fuel Oil, Table 19,ab\ab tra.xlsx",0.004,0.002,0.007,0.005,0.003,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.099,0.0,0.0,0.0,0.0,0.015,0.01,0.01,0.001
"Heavy Fuel Oil, Table 19,ab\ab tra.xlsx",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
"Motor Gasoline, Table 1,ab\ab tra.xlsx",3.67,4.01,4.21,4.18,4.35,4.64,5.36,5.64,6.09,6.62,7.65,8.61,8.91,9.06,9.47,9.97,10.53,11.05,11.32,11.23,11.56,12.03,12.31,12.66,13.03,13.12,13.06,13.2,13.39
"Cars, Table 20,ab\ab tra.xlsx",28728.425512,27478.102103,28593.1677,28345.182898,29273.494301,28574.814893,28031.853642,28499.801595,28357.734175,28057.826802,28329.95311,29675.241317,29896.516328,27861.902902,26868.672248,27684.966112,27939.061758,29744.37071,28475.711341,27402.52071,26211.01652,23228.762432,24479.440728,25222.285796,25081.698058,23184.265092,23327.203612,22155.634837,22629.303804
"Light Trucks, Table 34,ab\ab tra.xlsx",9905.503358,9691.965918,10634.764043,10968.78921,12193.264199,12616.387723,13307.19794,14953.077962,16127.628693,16676.66071,17412.190565,18548.745593,19351.844448,18480.681569,18126.284055,19426.323684,18919.256678,20916.958912,20597.007514,20393.320911,20632.10848,19590.379901,21915.419309,24284.70201,26059.67184,25829.561673,27929.149078,28163.762157,30833.120384
